SNP	chr.num	chr.roman	WS244.pos
UCE5-1908	5	V	12010180
CE5-198	5	V	12125475
CE5-18	5	V	12153760
CE5-199	5	V	12220657
UCE5-1932	5	V	12222734
UCE5-1939	5	V	12288279
CE5-200	5	V	12314153
UCE5-1966	5	V	12426796
UCE5-1973	5	V	12460837
CE5-201	5	V	12487117
CE5-202	5	V	12583154
UCE5-1983	5	V	12638434
UCE5-1992	5	V	12750733
UCE5-709	5	V	1277223
CE5-204	5	V	12835928
CE5-205	5	V	12935237
CE5-114	5	V	1297642
UCE5-2003	5	V	12985405
CE5-206	5	V	13031375
CE5-28	5	V	13051213
CE5-207	5	V	13120449
UCE5-2013	5	V	13185964
CE5-208	5	V	13213906
UCE5-2018	5	V	13263781
CE5-272	5	V	13311336
CE5-209	5	V	13370671
UCE5-2023	5	V	13372451
UCE5-2027	5	V	13438096
CE5-210	5	V	13540719
CE5-211	5	V	13628670
UCE5-2033	5	V	13662296
UCE5-2038	5	V	13749344
UCE5-2039	5	V	13751825
UCE5-2042	5	V	13915848
CE5-213	5	V	13947691
CE5-11	5	V	14140433
CE5-214	5	V	14150476
CE5-216	5	V	14322724
UCE5-2079	5	V	14355684
CE5-217	5	V	14420693
UCE5-2083	5	V	14422993
CE5-218	5	V	14500833
CE5-219	5	V	14585502
CE5-220	5	V	14642834
UCE5-2087	5	V	14720499
CE5-102	5	V	147789
CE5-221	5	V	14804200
CE5-13	5	V	14856207
CE5-116	5	V	1486128
UCE5-2093	5	V	14870937
UCE5-2103	5	V	14941812
CE5-223	5	V	14992741
CE5-224	5	V	15087826
UCE5-2107	5	V	15182809
UCE5-2118	5	V	15196535
UCE5-2133	5	V	15329062
CE5-226	5	V	15349211
CE5-10	5	V	15367698
UCE5-2137	5	V	15418181
CE5-227	5	V	15426078
CE5-228	5	V	15512135
CE5-229	5	V	15591082
UCE5-726	5	V	1564017
CE5-270	5	V	1577099
UCE5-2206	5	V	15790133
UCE5-2208	5	V	15800596
UCE5-2218	5	V	15884254
UCE5-2222	5	V	15885513
CE5-233	5	V	16021146
UCE5-2291	5	V	16056020
CE5-234	5	V	16120959
UCE5-2331	5	V	16253803
UCE5-731	5	V	1625842
UCE5-2344	5	V	16275872
CE5-236	5	V	16385614
UCE5-2369	5	V	16407619
UCE5-2383	5	V	16442127
UCE5-2401	5	V	16502413
CE5-237	5	V	16543059
UCE5-2435	5	V	16623909
UCE5-2460	5	V	16778383
UCE5-2463	5	V	16780160
CE5-17	5	V	16796
UCE5-2486	5	V	16837198
CE5-240	5	V	16888417
UCE5-2496	5	V	16899534
UCE5-2497	5	V	16900811
CE5-241	5	V	16977620
UCE5-740	5	V	1699762
UCE5-2500	5	V	17012179
CE5-242	5	V	17072000
CE5-243	5	V	17165568
CE5-21	5	V	17205287
CE5-244	5	V	17374573
CE5-5	5	V	17375170
CE5-245	5	V	17520526
UCE5-2560	5	V	17520814
UCE5-2565	5	V	17589991
UCE5-2685	5	V	17697789
CE5-247	5	V	17704409
UCE5-2721	5	V	17795874
CE5-248	5	V	17796346
CE5-249	5	V	17914138
UCE5-756	5	V	1796786
UCE5-759	5	V	1796919
UCE5-2758	5	V	18007475
UCE5-2760	5	V	18009785
UCE5-2771	5	V	18120377
UCE5-2776	5	V	18168689
UCE5-2793	5	V	18262349
CE5-251	5	V	18262734
UCE5-2796	5	V	18278636
UCE5-2802	5	V	18354580
CE5-9	5	V	18392679
UCE5-2837	5	V	18498923
CE5-285	5	V	18554948
UCE5-2847	5	V	18637669
CE5-252	5	V	18657983
CE5-253	5	V	18757423
CE5-254	5	V	18824551
CE5-19	5	V	18921084
CE5-43	5	V	18924203
CE5-286	5	V	19131352
UCE5-2890	5	V	19135309
UCE5-2896	5	V	19210948
UCE5-2902	5	V	19231588
CE5-119	5	V	1937385
UCE5-3001	5	V	19391105
CE5-257	5	V	19515221
UCE5-3010	5	V	19515395
UCE5-3033	5	V	19596297
CE5-258	5	V	19608929
CE5-259	5	V	19671530
UCE5-3044	5	V	19715353
UCE5-3087	5	V	19779158
UCE5-3094	5	V	19897614
UCE5-3097	5	V	19938544
CE5-263	5	V	20117398
UCE5-3106	5	V	20201477
UCE5-3113	5	V	20203280
UCE5-3168	5	V	20269537
CE5-120	5	V	2028290
CE5-31	5	V	20295380
CE5-265	5	V	20388406
UCE5-3182	5	V	20439777
UCE5-3195	5	V	20442580
CE5-267	5	V	20631210
UCE5-3397	5	V	20656052
UCE5-3416	5	V	20829591
CE5-269	5	V	20867097
CE5-121	5	V	2099106
UCE5-776	5	V	2134534
CE5-122	5	V	2190026
CE5-273	5	V	2225355
UCE5-787	5	V	2251173
UCE5-808	5	V	2304297
UCE5-810	5	V	2575300
UCE5-820	5	V	2675410
UCE5-833	5	V	2755393
UCE5-835	5	V	2779146
UCE5-866	5	V	2917640
CE5-127	5	V	2919447
CE5-104	5	V	293594
UCE5-877	5	V	2984478
CE5-129	5	V	3081026
UCE5-905	5	V	3111901
UCE5-921	5	V	3199729
CE5-130	5	V	3258653
UCE5-934	5	V	3260344
UCE5-954	5	V	3319272
CE5-131	5	V	3319413
UCE5-1011	5	V	3473275
UCE5-1012	5	V	3473550
CE5-133	5	V	3545006
UCE5-1023	5	V	3584842
UCE5-1030	5	V	3637192
CE5-36	5	V	3682108
CE5-134	5	V	3730275
UCE5-1067	5	V	3819945
UCE5-1070	5	V	3846200
UCE5-1143	5	V	3930009
UCE5-1146	5	V	3934976
CE5-105	5	V	399751
UCE5-1182	5	V	4043502
CE5-6	5	V	4090657
UCE5-1198	5	V	4296845
CE5-137	5	V	4298848
UCE5-1233	5	V	4442141
CE5-138	5	V	4500931
CE5-139	5	V	4588383
UCE5-1244	5	V	4616415
UCE5-1245	5	V	4842551
UCE5-1247	5	V	4889130
UCE5-1251	5	V	4927583
CE5-2	5	V	497943
CE5-106	5	V	499845
UCE5-1289	5	V	5105751
UCE5-1293	5	V	5106824
UCE5-1311	5	V	5173502
CE5-143	5	V	5175241
CE5-145	5	V	5281983
UCE5-1345	5	V	5321934
CE5-146	5	V	5369574
CE5-147	5	V	5462244
CE5-148	5	V	5546284
CE5-149	5	V	5617790
UCE5-1371	5	V	5648293
UCE5-1379	5	V	5692425
CE5-151	5	V	5795729
UCE5-1395	5	V	5814022
UCE5-1401	5	V	5850665
UCE5-1409	5	V	5894814
CE5-107	5	V	591256
UCE5-1413	5	V	5981011
UCE5-1416	5	V	6008940
CE5-153	5	V	6064863
UCE5-594	5	V	606864
CE5-12	5	V	6259765
CE5-1	5	V	6336157
CE5-156	5	V	6444128
CE5-278	5	V	6618053
UCE5-1468	5	V	6630374
UCE5-1487	5	V	6760669
UCE5-1491	5	V	6784673
UCE5-599	5	V	679520
UCE5-601	5	V	679779
CE5-158	5	V	6879012
UCE5-1507	5	V	6914807
UCE5-1509	5	V	6982234
CE5-159	5	V	7067131
CE5-35	5	V	7112245
CE5-160	5	V	7146052
CE5-161	5	V	7239362
UCE5-1519	5	V	7240858
CE5-162	5	V	7302298
UCE5-1534	5	V	7402639
UCE5-1544	5	V	7482174
CE5-164	5	V	7489854
CE5-165	5	V	7580686
UCE5-1563	5	V	7601425
CE5-166	5	V	7758331
UCE5-1703	5	V	7759062
CE5-167	5	V	7835308
CE5-168	5	V	7972098
UCE5-1719	5	V	8012277
UCE5-504	5	V	80490
CE5-169	5	V	8156968
CE5-170	5	V	8270403
CE5-275	5	V	8270497
CE5-171	5	V	8362449
UCE5-1724	5	V	8398703
UCE5-1726	5	V	8498683
UCE5-654	5	V	853902
UCE5-1734	5	V	8716227
UCE5-1735	5	V	8717736
CE5-110	5	V	872771
CE5-172	5	V	8968606
CE5-173	5	V	9039083
CE5-174	5	V	9092634
UCE5-1742	5	V	9248471
CE5-176	5	V	9287514
UCE5-1746	5	V	9343160
CE5-101	5	V	93558
CE5-177	5	V	9379355
UCE5-1780	5	V	9482677
CE5-15	5	V	9507575
CE5-179	5	V	9542083
CE5-180	5	V	9593131
CE5-181	5	V	9674892
UCE5-1790	5	V	9792619
UCE5-1791	5	V	9794201
CE5-184	5	V	9903872
UCE6-566	6	X	1001415
UCE6-1144	6	X	10037311
CE6-170	6	X	10076581
CE6-171	6	X	10203392
CE6-25	6	X	10227009
CE6-172	6	X	10286687
UCE6-1156	6	X	10317270
CE6-173	6	X	10376836
UCE6-1165	6	X	10424860
CE6-174	6	X	10461299
UCE6-1178	6	X	10550269
CE6-175	6	X	10552885
CE6-176	6	X	10648932
UCE6-1184	6	X	10662630
UCE6-1186	6	X	10731114
CE6-177	6	X	10739637
CE6-178	6	X	10791728
UCE6-1198	6	X	10862586
UCE6-1199	6	X	10869315
CE6-227	6	X	10944653
CE6-179	6	X	11071568
UCE6-1204	6	X	11096536
UCE6-1207	6	X	11128033
CE6-220	6	X	1127314
UCE6-1212	6	X	11342635
CE6-180	6	X	11346776
CE6-181	6	X	11433487
UCE6-1215	6	X	11453047
CE6-7	6	X	11517299
CE6-182	6	X	11530572
CE6-183	6	X	11622495
UCE6-577	6	X	1182004
CE6-27	6	X	11836735
CE6-185	6	X	11952501
UCE6-1244	6	X	12022253
CE6-186	6	X	12076330
CE6-111	6	X	1215430
CE6-187	6	X	12208336
CE6-188	6	X	12293183
CE6-189	6	X	12359528
CE6-218	6	X	12364484
UCE6-1264	6	X	12533105
UCE6-1285	6	X	12615327
CE6-191	6	X	12750794
UCE6-1296	6	X	12763186
UCE6-1304	6	X	12878202
UCE6-1314	6	X	12974362
CE6-192	6	X	12990166
CE6-193	6	X	13050574
UCE6-584	6	X	1310703
UCE6-1337	6	X	13262770
CE6-194	6	X	13339646
UCE6-1343	6	X	13378175
CE6-195	6	X	13482151
CE6-196	6	X	13557364
CE6-20	6	X	1358171
CE6-15	6	X	13600798
CE6-197	6	X	13656665
UCE6-1358	6	X	13676330
UCE6-1360	6	X	13733951
CE6-198	6	X	13812925
CE6-199	6	X	13893864
UCE6-1369	6	X	14072897
CE6-201	6	X	14089716
CE6-202	6	X	14180076
UCE6-1386	6	X	14252181
CE6-203	6	X	14271457
CE6-204	6	X	14364921
UCE6-1397	6	X	14365344
UCE6-1429	6	X	14437157
CE6-205	6	X	14451350
UCE6-593	6	X	1447265
UCE6-598	6	X	1447829
UCE6-1456	6	X	14542184
CE6-206	6	X	14547285
UCE6-1468	6	X	14600541
CE6-207	6	X	14636485
CE6-219	6	X	14679068
CE6-208	6	X	14739716
UCE6-1490	6	X	14740428
CE6-209	6	X	14791232
CE6-210	6	X	14888501
UCE6-1507	6	X	14961483
UCE6-1508	6	X	14961898
UCE6-600	6	X	1502703
UCE6-1516	6	X	15074697
CE6-230	6	X	15137708
UCE6-1520	6	X	15138179
UCE6-1528	6	X	15196877
CE6-231	6	X	15252326
UCE6-1548	6	X	15330819
CE6-5	6	X	15366199
CE6-221	6	X	1549462
UCE6-1556	6	X	15500661
UCE6-1557	6	X	15500794
CE6-232	6	X	15560939
UCE6-1565	6	X	15563674
UCE6-1580	6	X	15659029
UCE6-1585	6	X	15697792
UCE6-1590	6	X	15820602
CE6-233	6	X	15842431
UCE6-1606	6	X	16035642
UCE6-1607	6	X	16072927
UCE6-641	6	X	1613530
UCE6-1612	6	X	16203779
CE6-236	6	X	16227222
CE6-237	6	X	16327359
UCE6-1621	6	X	16505945
UCE6-1624	6	X	16596182
UCE6-686	6	X	1663696
UCE6-1628	6	X	16641522
CE6-239	6	X	16892140
UCE6-1639	6	X	16916949
CE6-240	6	X	17034327
CE6-241	6	X	17215840
CE6-242	6	X	17339609
UCE6-1649	6	X	17474961
CE6-243	6	X	17498532
CE6-244	6	X	17618953
CE6-223	6	X	1785501
UCE6-703	6	X	1850474
CE6-112	6	X	1922795
CE6-113	6	X	2013375
UCE6-712	6	X	2039817
CE6-114	6	X	2090669
CE6-18	6	X	2090778
CE6-115	6	X	2184818
UCE6-725	6	X	2214392
CE6-116	6	X	2275888
UCE6-738	6	X	2357670
UCE6-754	6	X	2406952
CE6-118	6	X	2452827
UCE6-761	6	X	2550907
UCE6-763	6	X	2552397
UCE6-764	6	X	2611074
UCE6-769	6	X	2701237
CE6-120	6	X	2727327
UCE6-775	6	X	2778646
UCE6-776	6	X	2844476
CE6-122	6	X	2877428
UCE6-783	6	X	2924234
UCE6-786	6	X	3015800
UCE6-790	6	X	3040014
UCE6-802	6	X	3119430
CE6-9	6	X	3195452
UCE6-808	6	X	3204637
CE6-125	6	X	3281651
UCE6-814	6	X	3350520
UCE6-817	6	X	3401672
CE6-126	6	X	3421831
UCE6-531	6	X	350084
CE6-127	6	X	3527085
UCE6-833	6	X	3679254
UCE6-835	6	X	3716925
UCE6-839	6	X	3814926
UCE6-840	6	X	3820231
CE6-103	6	X	387180
CE6-128	6	X	3921103
CE6-129	6	X	4060862
UCE6-854	6	X	4279629
CE6-130	6	X	4309992
UCE6-858	6	X	4389248
CE6-131	6	X	4401775
CE6-132	6	X	4500398
UCE6-865	6	X	4507538
UCE6-870	6	X	4571114
UCE6-871	6	X	4615781
UCE6-872	6	X	4649227
CE6-216	6	X	4745942
CE6-134	6	X	4753798
CE6-104	6	X	478347
CE6-4	6	X	4900911
CE6-135	6	X	4927329
CE6-136	6	X	5022140
UCE6-886	6	X	5033476
UCE6-888	6	X	5152523
UCE6-890	6	X	5153218
UCE6-904	6	X	5234795
CE6-139	6	X	5274023
UCE6-929	6	X	5414493
CE6-105	6	X	543067
CE6-140	6	X	5466250
UCE6-543	6	X	547547
CE6-141	6	X	5562633
UCE6-940	6	X	5569019
CE6-29	6	X	5621475
CE6-142	6	X	5729225
UCE6-952	6	X	5759109
UCE6-962	6	X	5819606
UCE6-965	6	X	5877842
UCE6-544	6	X	596094
UCE6-983	6	X	5961200
UCE6-985	6	X	5963651
CE6-144	6	X	6014392
CE6-145	6	X	6073126
CE6-8	6	X	6152563
UCE6-988	6	X	6248567
UCE6-990	6	X	6310642
UCE6-991	6	X	6319934
CE6-106	6	X	636851
CE6-14	6	X	6519035
CE6-146	6	X	6528357
CE6-147	6	X	6579127
CE6-13	6	X	6581274
CE6-148	6	X	6739708
UCE6-1000	6	X	6762384
CE6-149	6	X	6940805
UCE6-1007	6	X	6955053
CE6-150	6	X	7009811
UCE6-1009	6	X	7143519
CE6-30	6	X	7144845
UCE6-548	6	X	718524
UCE6-1011	6	X	7266228
UCE6-1012	6	X	7266903
CE6-225	6	X	7322783
UCE6-1021	6	X	7336107
CE6-107	6	X	734973
UCE6-1037	6	X	7513586
UCE6-1041	6	X	7564252
CE6-153	6	X	7613186
UCE6-1044	6	X	7727638
UCE6-1045	6	X	7743294
UCE6-1051	6	X	7821527
CE6-108	6	X	789667
UCE6-1056	6	X	7940989
UCE6-1063	6	X	7964283
UCE6-1076	6	X	8083582
UCE6-1079	6	X	8247067
UCE6-1080	6	X	8248240
CE6-24	6	X	8357074
CE6-155	6	X	8394314
UCE6-1086	6	X	8426407
UCE6-1088	6	X	8501811
CE6-157	6	X	8548985
UCE6-1091	6	X	8665332
CE6-217	6	X	8691743
CE6-159	6	X	8751562
UCE6-1095	6	X	8832447
CE6-160	6	X	8923366
UCE6-1102	6	X	8952779
CE6-161	6	X	9021970
CE6-26	6	X	9025527
CE6-162	6	X	9093651
UCE6-560	6	X	911873
CE6-164	6	X	9287876
UCE6-1114	6	X	9303941
CE6-165	6	X	9483592
CE6-211	6	X	9525353
CE6-212	6	X	9542472
CE6-213	6	X	9552349
CE6-214	6	X	9570275
CE6-166	6	X	9678816
UCE6-1127	6	X	9710280
CE6-167	6	X	9822894
CE6-110	6	X	982567
CE6-168	6	X	9902384
UCE6-1134	6	X	9967633
